week,home_team,away_team,game_id,proposition_id,correct_outcome_key,home_score,away_score,home_line,smb_pick,slb_pick,sue_pick,jean_pick,morgan_pick
17,MIN,GB,401547637,,,10,33,,,,,,
18,BAL,PIT,401547639,,,10,17,,,,,,
18,IND,HOU,401547644,,,19,23,,,,,,
18,CIN,CLE,401547641,,,31,14,,,,,,
18,DET,MIN,401547642,,,30,20,,,,,,
18,TEN,JAX,401547652,,,28,20,,,,,,
18,NE,NYJ,401547648,,,3,17,,,,,,
18,NO,ATL,401547649,,,48,17,,,,,,
18,CAR,TB,401547640,,,0,9,,,,,,
18,GB,CHI,401547643,,,17,9,,,,,,
18,LV,DEN,401547646,,,27,14,,,,,,
18,NYG,PHI,401547650,,,27,10,,,,,,
18,ARI,SEA,401547638,,,20,21,,,,,,
18,LAC,KC,401547645,,,12,13,,,,,,
18,SF,LAR,401547651,,,20,21,,,,,,
18,WSH,DAL,401547653,,,10,38,,,,,,
18,MIA,BUF,401547647,,,14,21,,,,,,
