proposition_id,home_line,correct_outcome_key,incorrect_outcome_key,prop_name,game_id
1acc83c0-138a-11ef-99c0-11d412694269,-1.5,HOU,BUF,BUF @ HOU,401671859
1b0212b0-138a-11ef-95b6-af3fb566f45b,-4.5,GB,ARI,ARI @ GB,401671722
1bb4e7f0-138a-11ef-9421-4b5b2bd2cbe8,,,TEN,NE @ TEN,401671822
1b3a87d0-138a-11ef-99c0-11d412694269,-8.5,BUF,TEN,TEN @ BUF,401671616
1b74f8c0-138a-11ef-95b6-af3fb566f45b,9.5,,CLE,BAL @ CLE,401671852
1c39cf60-138a-11ef-9421-4b5b2bd2cbe8,,,NYJ,IND @ NYJ,401671782
1a8d30d0-138a-11ef-9421-4b5b2bd2cbe8,-2.5,MIN,GB,MIN @ GB,401671643
1d26ee80-138a-11ef-95b6-af3fb566f45b,,,TEN,CIN @ TEN,401671825
1b7790d0-138a-11ef-95b6-af3fb566f45b,2.5,,SEA,BUF @ SEA,401671760
19d52b70-138a-11ef-95b6-af3fb566f45b,-4.5,SEA,DEN,DEN @ SEA,401671664
1b3b4b20-138a-11ef-99c0-11d412694269,-2.5,GB,HOU,HOU @ GB,401671644
1bb731e0-138a-11ef-9421-4b5b2bd2cbe8,,,PHI,JAX @ PHI,401671797
1c7048b0-138a-11ef-99c0-11d412694269,,,LAR,PHI @ LAR,401671794
1ced8f00-138a-11ef-99c0-11d412694269,,,MIA,NYJ @ MIA,401671848
1bb2c510-138a-11ef-9421-4b5b2bd2cbe8,,,NYJ,HOU @ NYJ,401671809
1bf12da0-138a-11ef-95b6-af3fb566f45b,,,LAR,MIA @ LAR,401671693
1a58b350-138a-11ef-99c0-11d412694269,2.5,DET,ARI,DET @ ARI,401671771
1b3ad5f0-138a-11ef-99c0-11d412694269,4.5,CIN,CLE,CIN @ CLE,401671853
1ca6c200-138a-11ef-9421-4b5b2bd2cbe8,,,NE,IND @ NE,401671620
1dd68f70-138a-11ef-9421-4b5b2bd2cbe8,,,LV,LAC @ LV,401671839
1a5494a0-138a-11ef-99c0-11d412694269,-6.5,NYJ,NE,NE @ NYJ,401671808
1dd8d960-138a-11ef-9421-4b5b2bd2cbe8,,,PIT,CIN @ PIT,401671836
1c3a1d80-138a-11ef-9421-4b5b2bd2cbe8,,,DAL,HOU @ DAL,401671694
1b3cd1c0-138a-11ef-99c0-11d412694269,-7.5,WSH,CAR,CAR @ WSH,401671640
1d26a060-138a-11ef-95b6-af3fb566f45b,,,CLE,KC @ CLE,401671854
1a572cb0-138a-11ef-99c0-11d412694269,-6.5,DEN,TB,DEN @ TB,401671741
