week,home_team,away_team,game_id,proposition_id,bet_win_key,home_score,away_score,home_line,prop_date,smb_pick,slb_pick,sue_pick,jean_pick,morgan_pick,adam_pick
16,TEN,KC,401772803,2a38e820-31cb-11f0-ab53-41ce0449976f,not_decided,,,,1766340000000,TEN DEFAULT,TEN DEFAULT,TEN DEFAULT,,,
16,NYG,MIN,401772911,2a395d50-31cb-11f0-ab53-41ce0449976f,not_decided,,,,1766340000000,NYG DEFAULT,NYG DEFAULT,NYG DEFAULT,,,
16,BAL,NE,401772804,2a39d280-31cb-11f0-ab53-41ce0449976f,not_decided,,,,1766340000000,BAL DEFAULT,BAL DEFAULT,BAL DEFAULT,,,
16,ARI,ATL,401772914,2a3a6ec0-31cb-11f0-ab53-41ce0449976f,not_decided,,,,1766351100000,ARI DEFAULT,ARI DEFAULT,ARI DEFAULT,,,
16,HOU,LV,401772805,2a3ae3f0-31cb-11f0-ab53-41ce0449976f,not_decided,,,,1766352300000,HOU DEFAULT,HOU DEFAULT,HOU DEFAULT,,,
16,IND,SF,401772824,2a3b8030-31cb-11f0-ab53-41ce0449976f,not_decided,,,,1766452500000,IND DEFAULT,IND DEFAULT,IND DEFAULT,,,
17,WSH,DAL,401772710,2aa78870-31cb-11f0-ab53-41ce0449976f,not_decided,,,,1766685600000,WSH DEFAULT,WSH DEFAULT,WSH DEFAULT,,,
17,KC,DEN,401772622,2aa872d0-31cb-11f0-ab53-41ce0449976f,not_decided,,,,1766711700000,KC DEFAULT,KC DEFAULT,KC DEFAULT,,,
17,CLE,PIT,401772807,2aa9f970-31cb-11f0-ab53-41ce0449976f,not_decided,,,,1766944800000,CLE DEFAULT,CLE DEFAULT,CLE DEFAULT,,,
17,IND,JAX,401772915,2aaa6ea0-31cb-11f0-ab53-41ce0449976f,not_decided,,,,1766944800000,IND DEFAULT,IND DEFAULT,IND DEFAULT,,,
17,NYJ,NE,401772808,2aab0ae0-31cb-11f0-ab53-41ce0449976f,not_decided,,,,1766944800000,NYJ DEFAULT,NYJ DEFAULT,NYJ DEFAULT,,,
17,SF,CHI,401772935,2aaba720-31cb-11f0-ab53-41ce0449976f,not_decided,,,,1766971200000,SF DEFAULT,SF DEFAULT,SF DEFAULT,,,
17,ATL,LAR,401772825,2aabce30-31cb-11f0-ab53-41ce0449976f,not_decided,,,,1767057300000,ATL DEFAULT,ATL DEFAULT,ATL DEFAULT,,,
17,CIN,ARI,401772954,2aa8c0f0-31cb-11f0-ab53-41ce0449976f,not_decided,,,,1766811600000,CIN DEFAULT,CIN DEFAULT,CIN DEFAULT,,,
17,LV,NYG,401772950,2aa93620-31cb-11f0-ab53-41ce0449976f,not_decided,,,,1766811600000,LV DEFAULT,LV DEFAULT,LV DEFAULT,,,
17,CAR,SEA,401772952,2aa9ab50-31cb-11f0-ab53-41ce0449976f,not_decided,,,,1766811600000,CAR DEFAULT,CAR DEFAULT,CAR DEFAULT,,,
18,ATL,NO,401772966,2b208900-31cb-11f0-8209-f386d3264813,not_decided,,,,1767502800000,ATL DEFAULT,ATL DEFAULT,ATL DEFAULT,,,
18,CHI,DET,401772965,2b217360-31cb-11f0-8209-f386d3264813,not_decided,,,,1767502800000,CHI DEFAULT,CHI DEFAULT,CHI DEFAULT,,,
18,DEN,LAC,401772956,2b2236b0-31cb-11f0-8209-f386d3264813,not_decided,,,,1767502800000,DEN DEFAULT,DEN DEFAULT,DEN DEFAULT,,,
18,LAR,ARI,401772955,2b22abe0-31cb-11f0-8209-f386d3264813,not_decided,,,,1767502800000,LAR DEFAULT,LAR DEFAULT,LAR DEFAULT,,,
18,NE,MIA,401772958,2b234820-31cb-11f0-8209-f386d3264813,not_decided,,,,1767502800000,NE DEFAULT,NE DEFAULT,NE DEFAULT,,,
18,PHI,WSH,401772959,2b23bd50-31cb-11f0-8209-f386d3264813,not_decided,,,,1767502800000,PHI DEFAULT,PHI DEFAULT,PHI DEFAULT,,,
18,SF,SEA,401772961,2b243280-31cb-11f0-8209-f386d3264813,not_decided,,,,1767502800000,SF DEFAULT,SF DEFAULT,SF DEFAULT,,,
18,JAX,TEN,401772970,2b24a7b0-31cb-11f0-8209-f386d3264813,not_decided,,,,1767502800000,JAX DEFAULT,JAX DEFAULT,JAX DEFAULT,,,
