proposition_id,home_line,prop_name,game_id,outcome_1_id,outcome_1_abbr,outcome_2_id,outcome_2_abbr,prop_date
263a9160-31cb-11f0-a687-2b56ff546787,,LV @ KC,401772753,263a9161-31cb-11f0-a687-2b56ff546787,LV,263a9162-31cb-11f0-a687-2b56ff546787,KC,1760893200000
283995b0-31cb-11f0-8209-f386d3264813,,CAR @ SF,401772820,283995b1-31cb-11f0-8209-f386d3264813,CAR,283995b2-31cb-11f0-8209-f386d3264813,SF,1764033300000
2976d0a0-31cb-11f0-a687-2b56ff546787,,IND @ JAX,401772793,2976d0a1-31cb-11f0-a687-2b56ff546787,IND,2976d0a2-31cb-11f0-a687-2b56ff546787,JAX,1765130400000
2b243280-31cb-11f0-8209-f386d3264813,,SEA @ SF,401772961,2b243281-31cb-11f0-8209-f386d3264813,SEA,2b243282-31cb-11f0-8209-f386d3264813,SF,1767502800000
2aaba720-31cb-11f0-ab53-41ce0449976f,,CHI @ SF,401772935,2aaba721-31cb-11f0-ab53-41ce0449976f,CHI,2aaba722-31cb-11f0-ab53-41ce0449976f,SF,1766971200000
25f32820-31cb-11f0-a687-2b56ff546787,,LAC @ MIA,401772750,25f32821-31cb-11f0-a687-2b56ff546787,LAC,25f32822-31cb-11f0-a687-2b56ff546787,MIA,1760288400000
2a395d50-31cb-11f0-ab53-41ce0449976f,,MIN @ NYG,401772911,2a395d51-31cb-11f0-ab53-41ce0449976f,MIN,2a395d52-31cb-11f0-ab53-41ce0449976f,NYG,1766340000000
27077e50-31cb-11f0-ab53-41ce0449976f,,KC @ BUF,401772768,27077e51-31cb-11f0-ab53-41ce0449976f,KC,27077e52-31cb-11f0-ab53-41ce0449976f,BUF,1762118700000
263c8d30-31cb-11f0-a687-2b56ff546787,,TB @ DET,401772816,263c8d31-31cb-11f0-a687-2b56ff546787,TB,263c8d32-31cb-11f0-a687-2b56ff546787,DET,1761001200000
28c84120-31cb-11f0-a687-2b56ff546787,,KC @ DAL,401772694,28c84121-31cb-11f0-a687-2b56ff546787,KC,28c84122-31cb-11f0-a687-2b56ff546787,DAL,1764279000000
275bdfe0-31cb-11f0-ab53-41ce0449976f,,PIT @ LAC,401772927,275bdfe1-31cb-11f0-ab53-41ce0449976f,PIT,275bdfe2-31cb-11f0-ab53-41ce0449976f,LAC,1762737600000
25538cc0-31cb-11f0-8209-f386d3264813,,CAR @ NE,401772847,25538cc1-31cb-11f0-8209-f386d3264813,CAR,25538cc2-31cb-11f0-8209-f386d3264813,NE,1759078800000
2a39d280-31cb-11f0-ab53-41ce0449976f,,NE @ BAL,401772804,2a39d281-31cb-11f0-ab53-41ce0449976f,NE,2a39d282-31cb-11f0-ab53-41ce0449976f,BAL,1766340000000
2b21e890-31cb-11f0-8209-f386d3264813,,CLE @ CIN,401772964,2b21e891-31cb-11f0-8209-f386d3264813,CLE,2b21e892-31cb-11f0-8209-f386d3264813,CIN,1767502800000
250e9480-31cb-11f0-8209-f386d3264813,,DAL @ CHI,401772844,250e9481-31cb-11f0-8209-f386d3264813,DAL,250e9482-31cb-11f0-8209-f386d3264813,CHI,1758486300000
2475d6f0-31cb-11f0-ab53-41ce0449976f,0.5,DET @ GB,401772722,2475d6f1-31cb-11f0-ab53-41ce0449976f,DET,2475d6f2-31cb-11f0-ab53-41ce0449976f,GB,1757276700000
2639a700-31cb-11f0-a687-2b56ff546787,,LAR @ JAX,401772635,2639a701-31cb-11f0-a687-2b56ff546787,LAR,2639a702-31cb-11f0-a687-2b56ff546787,JAX,1760880600000
28394790-31cb-11f0-8209-f386d3264813,,TB @ LAR,401772929,28394791-31cb-11f0-8209-f386d3264813,TB,28394792-31cb-11f0-8209-f386d3264813,LAR,1763947200000
28c9eed0-31cb-11f0-a687-2b56ff546787,,NO @ MIA,401772892,28c9eed1-31cb-11f0-a687-2b56ff546787,NO,28c9eed2-31cb-11f0-a687-2b56ff546787,MIA,1764525600000
27c5c540-31cb-11f0-8209-f386d3264813,,CIN @ PIT,401772774,27c5c541-31cb-11f0-8209-f386d3264813,CIN,27c5c542-31cb-11f0-8209-f386d3264813,PIT,1763316000000
