proposition_id,home_line,prop_name,game_id,outcome_1_id,outcome_1_abbr,outcome_2_id,outcome_2_abbr
1a8c9490-138a-11ef-9421-4b5b2bd2cbe8,-1.5,NO @ ATL,401671727,1a8c9491-138a-11ef-9421-4b5b2bd2cbe8,NO,1a8c9492-138a-11ef-9421-4b5b2bd2cbe8,ATL
1a1fc900-138a-11ef-9421-4b5b2bd2cbe8,-2.5,NYG @ WSH,401671716,1a1fc901-138a-11ef-9421-4b5b2bd2cbe8,NYG,1a1fc902-138a-11ef-9421-4b5b2bd2cbe8,WSH
1d9cbac0-138a-11ef-99c0-11d412694269,,GB @ MIN,401671725,1d9cbac1-138a-11ef-99c0-11d412694269,GB,1d9cbac2-138a-11ef-99c0-11d412694269,MIN
1b76f490-138a-11ef-95b6-af3fb566f45b,-5.5,IND @ HOU,401671856,1b76f491-138a-11ef-95b6-af3fb566f45b,IND,1b76f492-138a-11ef-95b6-af3fb566f45b,HOU
1dd4e1c0-138a-11ef-9421-4b5b2bd2cbe8,,KC @ DEN,401671838,1dd4e1c1-138a-11ef-9421-4b5b2bd2cbe8,KC,1dd4e1c2-138a-11ef-9421-4b5b2bd2cbe8,DEN
1ac9ebb0-138a-11ef-99c0-11d412694269,-1.5,TB @ ATL,401671815,1ac9ebb1-138a-11ef-99c0-11d412694269,TB,1ac9ebb2-138a-11ef-99c0-11d412694269,ATL
1ca5feb0-138a-11ef-9421-4b5b2bd2cbe8,,PIT @ CIN,401671627,1ca5feb1-138a-11ef-9421-4b5b2bd2cbe8,PIT,1ca5feb2-138a-11ef-9421-4b5b2bd2cbe8,CIN
1d278ac0-138a-11ef-95b6-af3fb566f45b,,BAL @ NYG,401671639,1d278ac1-138a-11ef-95b6-af3fb566f45b,BAL,1d278ac2-138a-11ef-95b6-af3fb566f45b,NYG
1b04f8e0-138a-11ef-95b6-af3fb566f45b,3.5,DET @ DAL,401671764,1b04f8e1-138a-11ef-95b6-af3fb566f45b,DET,1b04f8e2-138a-11ef-95b6-af3fb566f45b,DAL
1ca896c0-138a-11ef-9421-4b5b2bd2cbe8,,PHI @ BAL,401671666,1ca896c1-138a-11ef-9421-4b5b2bd2cbe8,PHI,1ca896c2-138a-11ef-9421-4b5b2bd2cbe8,BAL
1d5e5230-138a-11ef-9421-4b5b2bd2cbe8,,LAR @ NYJ,401671621,1d5e5231-138a-11ef-9421-4b5b2bd2cbe8,LAR,1d5e5232-138a-11ef-9421-4b5b2bd2cbe8,NYJ
1a8fc8e0-138a-11ef-9421-4b5b2bd2cbe8,-1.5,CLE @ LV,401671672,1a8fc8e1-138a-11ef-9421-4b5b2bd2cbe8,CLE,1a8fc8e2-138a-11ef-9421-4b5b2bd2cbe8,LV
19d24540-138a-11ef-95b6-af3fb566f45b,-2.5,PIT @ ATL,401671744,19d24541-138a-11ef-95b6-af3fb566f45b,PIT,19d24542-138a-11ef-95b6-af3fb566f45b,ATL
1a206540-138a-11ef-9421-4b5b2bd2cbe8,-3.5,CLE @ JAX,401671635,1a206541-138a-11ef-9421-4b5b2bd2cbe8,CLE,1a206542-138a-11ef-9421-4b5b2bd2cbe8,JAX
1accd1e0-138a-11ef-99c0-11d412694269,-2.5,LV @ DEN,401671747,1accd1e1-138a-11ef-99c0-11d412694269,LV,1accd1e2-138a-11ef-99c0-11d412694269,DEN
1bf09160-138a-11ef-95b6-af3fb566f45b,-0.5,NYJ @ ARI,401671678,1bf09161-138a-11ef-95b6-af3fb566f45b,NYJ,1bf09162-138a-11ef-95b6-af3fb566f45b,ARI
1b01c490-138a-11ef-95b6-af3fb566f45b,-2.5,JAX @ CHI,401671802,1b01c491-138a-11ef-95b6-af3fb566f45b,JAX,1b01c492-138a-11ef-95b6-af3fb566f45b,CHI
1bb499d0-138a-11ef-9421-4b5b2bd2cbe8,1.5,LAC @ CLE,401671629,1bb499d1-138a-11ef-9421-4b5b2bd2cbe8,LAC,1bb499d2-138a-11ef-9421-4b5b2bd2cbe8,CLE
1c398140-138a-11ef-9421-4b5b2bd2cbe8,-1.5,CIN @ LAC,401671675,1c398141-138a-11ef-9421-4b5b2bd2cbe8,CIN,1c398142-138a-11ef-9421-4b5b2bd2cbe8,LAC
1dd975a0-138a-11ef-9421-4b5b2bd2cbe8,,CLE @ BAL,401671834,1dd975a1-138a-11ef-9421-4b5b2bd2cbe8,CLE,1dd975a2-138a-11ef-9421-4b5b2bd2cbe8,BAL
1d5bba20-138a-11ef-9421-4b5b2bd2cbe8,,CLE @ CIN,401671811,1d5bba21-138a-11ef-9421-4b5b2bd2cbe8,CLE,1d5bba22-138a-11ef-9421-4b5b2bd2cbe8,CIN
