week,home_team,away_team,game_id,proposition_id,bet_win_key,home_score,away_score,home_line,smb_pick,slb_pick,sue_pick,jean_pick,morgan_pick,adam_pick
8,SEA,BUF,401671760,1b7790d0-138a-11ef-95b6-af3fb566f45b,BUF,10,31,2.5,BUF,BUF,SEA,BUF,,
8,DEN,CAR,401671600,1b782d10-138a-11ef-95b6-af3fb566f45b,DEN,28,14,-7.5,DEN,CAR,DEN,DEN,,
8,LV,KC,401671671,1b78a240-138a-11ef-95b6-af3fb566f45b,LV,20,27,9.5,KC,LV,LV,KC,,
8,WSH,CHI,401671599,1b765850-138a-11ef-95b6-af3fb566f45b,WSH,18,15,2.5,WSH,CHI,WSH,CHI,,
8,SF,DAL,401671795,1b78f060-138a-11ef-95b6-af3fb566f45b,SF,30,24,-5.5,SF,DAL,SF,DAL,,
8,PIT,NYG,401671685,1b793e80-138a-11ef-95b6-af3fb566f45b,not_decided,,,-6.5,,,,,,
9,NYJ,HOU,401671809,1bb2c510-138a-11ef-9421-4b5b2bd2cbe8,not_decided,,,,,,,,,
9,ATL,DAL,401671728,1bb38860-138a-11ef-9421-4b5b2bd2cbe8,not_decided,,,,,,,,,
9,BUF,MIA,401671493,1bb3d680-138a-11ef-9421-4b5b2bd2cbe8,not_decided,,,,,,,,,
9,CIN,LV,401671704,1bb424a0-138a-11ef-9421-4b5b2bd2cbe8,not_decided,,,,,,,,,
9,CLE,LAC,401671629,1bb499d0-138a-11ef-9421-4b5b2bd2cbe8,not_decided,,,,,,,,,
9,TEN,NE,401671822,1bb4e7f0-138a-11ef-9421-4b5b2bd2cbe8,not_decided,,,,,,,,,
9,NYG,WSH,401671711,1bb58430-138a-11ef-9421-4b5b2bd2cbe8,not_decided,,,,,,,,,
9,CAR,NO,401671650,1bb5d250-138a-11ef-9421-4b5b2bd2cbe8,not_decided,,,,,,,,,
9,BAL,DEN,401671623,1bb62070-138a-11ef-9421-4b5b2bd2cbe8,not_decided,,,,,,,,,
9,PHI,JAX,401671797,1bb731e0-138a-11ef-9421-4b5b2bd2cbe8,not_decided,,,,,,,,,
9,ARI,CHI,401671661,1bb66e90-138a-11ef-9421-4b5b2bd2cbe8,not_decided,,,,,,,,,
9,GB,DET,401671767,1bb6bcb0-138a-11ef-9421-4b5b2bd2cbe8,not_decided,,,,,,,,,
9,SEA,LAR,401671776,1bb6e3c0-138a-11ef-9421-4b5b2bd2cbe8,not_decided,,,,,,,,,
9,MIN,IND,401671647,1bb53610-138a-11ef-9421-4b5b2bd2cbe8,not_decided,,,,,,,,,
9,KC,TB,401671688,1bb78000-138a-11ef-9421-4b5b2bd2cbe8,not_decided,,,,,,,,,
10,BAL,CIN,401671810,1bece7e0-138a-11ef-95b6-af3fb566f45b,not_decided,,,,,,,,,
10,CAR,NYG,401671803,1bedab30-138a-11ef-95b6-af3fb566f45b,not_decided,,,,,,,,,
10,CHI,NE,401671873,1bedf950-138a-11ef-95b6-af3fb566f45b,not_decided,,,,,,,,,
10,IND,BUF,401671863,1bee2060-138a-11ef-95b6-af3fb566f45b,not_decided,,,,,,,,,
10,KC,DEN,401671637,1bee6e80-138a-11ef-95b6-af3fb566f45b,not_decided,,,,,,,,,
10,NO,ATL,401671733,1beebca0-138a-11ef-95b6-af3fb566f45b,not_decided,,,,,,,,,
10,TB,SF,401671742,1bef0ac0-138a-11ef-95b6-af3fb566f45b,not_decided,,,,,,,,,
10,WSH,PIT,401671641,1bef58e0-138a-11ef-95b6-af3fb566f45b,not_decided,,,,,,,,,
10,JAX,MIN,401671708,1bef7ff0-138a-11ef-95b6-af3fb566f45b,not_decided,,,,,,,,,
10,LAC,TEN,401671751,1befce10-138a-11ef-95b6-af3fb566f45b,not_decided,,,,,,,,,
10,DAL,PHI,401671676,1bf01c30-138a-11ef-95b6-af3fb566f45b,not_decided,,,,,,,,,
10,ARI,NYJ,401671678,1bf09160-138a-11ef-95b6-af3fb566f45b,not_decided,,,,,,,,,
